"topic","question_or_title","answer_or_content","source_url","date_collected"
"NIN","What is the NIN and who issues it?","The National Identification Number (NIN) is an 11-digit number assigned to every individual enrolled in Nigeria's National Identity Database (NIDB), managed by the National Identity Management Commission (NIMC). It ties together all official records about a person and is required for SIM registration, bank accounts, passports, exams, and most government services. All citizens and legal residents, from birth, are eligible to enrol.","https://www.legit.ng/ask-legit/guides/1182915-nimc-online-registration-guide/","2026-08-04"
"NIN","Can I complete NIN registration fully online?","No. Full NIN registration cannot be completed entirely online. You can pre-enrol online at the NIMC pre-enrolment portal (penrol.nimc.gov.ng), which generates a barcoded slip, but you must still visit an approved NIMC enrolment centre in person to complete biometric capture (ten fingerprints, facial photo, and signature) before a NIN is issued.","https://www.legit.ng/nigeria/1698949-how-nin-2026-according-nimc-save-waiting-time/","2026-08-04"
"NIN","How do I pre-enrol for a NIN online?","Visit the NIMC pre-enrolment portal at penrol.nimc.gov.ng, click 'Pre-Enrolment Portal', and complete the online form with your personal details. This generates a pre-enrolment slip with a barcode. Take the printed slip to an approved NIMC enrolment centre, where an officer scans the barcode to populate your details, lets you verify them, then captures your fingerprints and facial image. A Transaction ID Slip is issued as proof, and the NIN follows after processing.","https://www.nigerianpassports.com/national-identity-number","2026-08-04"
"NIN","What is the NIMC Ward-Level Enrolment Drive?","Starting 16 February 2026, NIMC launched a nationwide Ward-Level Enrolment Drive to decentralise NIN registration, setting up enrolment points closer to communities so citizens (including students) do not have to travel far to register. Nigerians can find their nearest ward centre via NIMC's official channels or the toll-free line.","https://punchng.com/nimc-mobilises-for-national-identity-registration/","2026-08-04"
"NIN","Is NIN mandatory for SSCE (WAEC/NECO) candidates?","Yes. NIMC has stated that NIN is required for the Senior Secondary School Certificate Examinations, as well as for school registrations and scholarship applications. Students under 16 must be accompanied to the registration centre by a parent or guardian who has a valid NIN, and should bring the child's original birth certificate or a statutory declaration of age.","https://www.icirnigeria.org/nin-mandatory-for-2026-ssce-candidates-says-nimc/","2026-08-04"
"NIN","How do I modify or correct my NIN details?","Data modifications (such as name, date of birth, or address corrections) are handled through NIMC's official self-service modification portal at selfservicemodification.nimc.gov.ng. NIMC has warned Nigerians against using unauthorized third-party websites for this, since it can expose personal data to fraud; only the official portal should be used.","https://www.legit.ng/business-economy/technology/1699585-nin-registration-nimc-updates-nigerians-decentralised-enrollment/","2026-08-04"
"NIN","How can I register for a NIN while living outside Nigeria?","To register for a NIN from abroad, visit the official NIMC website to locate a licensed diaspora enrolment partner in your country of residence, book an appointment, and attend with valid documents such as a Nigerian passport or birth certificate. Your biometrics will be captured at that partner centre and a NIN issued after processing.","https://www.legit.ng/ask-legit/guides/1182915-nimc-online-registration-guide/","2026-08-04"
"NIN","What app can I use to access my NIN digitally?","The NIMC Mobile ID app (available on iOS and Android) lets a user retrieve and display their digital NIN by entering their 11-digit NIN number, after which it can be used as a form of ID verification without carrying the physical slip or card. NIMC also runs a separate NINAUTH app for digital identity authentication services.","https://siliconafrica.org/how-to-register-and-use-the-new-nimc-self-service-portal/","2026-08-04"
"NIN","How many Nigerians had been enrolled in the NIN database as of late 2025?","NIMC disclosed that enrolment in the National Identification Number database had reached approximately 127 million as of December 2025, with enrolment figures fairly balanced between the northern and southern regions of the country.","https://www.legit.ng/business-economy/technology/1699585-nin-registration-nimc-updates-nigerians-decentralised-enrollment/","2026-08-04"
"NIN","Does NYSC verify my full NIN record during registration?","No. During NYSC online registration, applicants enter their NIN at the biodata stage, but NYSC only uses it to verify the applicant's name against NIMC's database. It does not fetch date of birth, gender, state of origin, or other personal details. Applicants should ensure the name on their NIN exactly matches what is on their university/NYSC senate list to avoid rejection.","https://nyscwhatsappgroup.com/nin-for-nysc-registration/","2026-08-04"
